"STATISTIC","Statistic Label","TLIST(M1)","Month","C02118V02559","Main Reason for Travel","UNIT","VALUE"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M07","2023 July","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M08","2023 August","3","Business","%","11.1"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M08","2023 August","1","Holiday/leisure/recreation","%","40.7"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M08","2023 August","2","Visit to friends/relatives","%","36.6"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M08","2023 August","4","Other reason for journey","%","11.5"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M08","2023 August","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M09","2023 September","3","Business","%","10.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M09","2023 September","1","Holiday/leisure/recreation","%","45.5"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M09","2023 September","2","Visit to friends/relatives","%","36.2"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M09","2023 September","4","Other reason for journey","%","7.4"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M09","2023 September","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M10","2023 October","3","Business","%","13.3"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M10","2023 October","1","Holiday/leisure/recreation","%","44.6"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M10","2023 October","2","Visit to friends/relatives","%","34.1"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M10","2023 October","4","Other reason for journey","%","7.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M10","2023 October","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M11","2023 November","3","Business","%","15"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M11","2023 November","1","Holiday/leisure/recreation","%","29.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M11","2023 November","2","Visit to friends/relatives","%","42.3"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M11","2023 November","4","Other reason for journey","%","12.8"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M11","2023 November","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M12","2023 December","3","Business","%","15"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M12","2023 December","1","Holiday/leisure/recreation","%","16.1"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M12","2023 December","2","Visit to friends/relatives","%","26"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M12","2023 December","4","Other reason for journey","%","42.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2023M12","2023 December","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M01","2024 January","3","Business","%","7"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M01","2024 January","1","Holiday/leisure/recreation","%","23.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M01","2024 January","2","Visit to friends/relatives","%","57.8"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M01","2024 January","4","Other reason for journey","%","11.3"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M01","2024 January","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M02","2024 February","3","Business","%","15.3"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M02","2024 February","1","Holiday/leisure/recreation","%","28.4"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M02","2024 February","2","Visit to friends/relatives","%","39.4"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M02","2024 February","4","Other reason for journey","%","16.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M02","2024 February","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M03","2024 March","3","Business","%","11.7"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M03","2024 March","1","Holiday/leisure/recreation","%","38.4"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M03","2024 March","2","Visit to friends/relatives","%","32.1"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M03","2024 March","4","Other reason for journey","%","17.8"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M03","2024 March","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M04","2024 April","3","Business","%","13"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M04","2024 April","1","Holiday/leisure/recreation","%","36.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M04","2024 April","2","Visit to friends/relatives","%","38.8"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M04","2024 April","4","Other reason for journey","%","11.2"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M04","2024 April","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M05","2024 May","3","Business","%","10.6"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M05","2024 May","1","Holiday/leisure/recreation","%","39.4"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M05","2024 May","2","Visit to friends/relatives","%","28.4"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M05","2024 May","4","Other reason for journey","%","21.6"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M05","2024 May","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M06","2024 June","3","Business","%","12.5"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M06","2024 June","1","Holiday/leisure/recreation","%","43.5"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M06","2024 June","2","Visit to friends/relatives","%","28.2"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M06","2024 June","4","Other reason for journey","%","15.7"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M06","2024 June","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M07","2024 July","3","Business","%","9.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M07","2024 July","1","Holiday/leisure/recreation","%","43.3"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M07","2024 July","2","Visit to friends/relatives","%","32.3"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M07","2024 July","4","Other reason for journey","%","14.4"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M07","2024 July","-","All reasons for journey","%","100"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M08","2024 August","3","Business","%","7.9"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M08","2024 August","1","Holiday/leisure/recreation","%","46.7"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M08","2024 August","2","Visit to friends/relatives","%","34.7"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M08","2024 August","4","Other reason for journey","%","10.6"
"ITM04C04","Percentage of Nights by Foreign Visitors","2024M08","2024 August","-","All reasons for journey","%","100"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M01","2023 January","3","Business","Nights per trip","4.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M01","2023 January","1","Holiday/leisure/recreation","Nights per trip","5.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M01","2023 January","2","Visit to friends/relatives","Nights per trip","10.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M01","2023 January","4","Other reason for journey","Nights per trip","22.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M01","2023 January","-","All reasons for journey","Nights per trip","9.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M02","2023 February","3","Business","Nights per trip","5.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M02","2023 February","1","Holiday/leisure/recreation","Nights per trip","5.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M02","2023 February","2","Visit to friends/relatives","Nights per trip","6.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M02","2023 February","4","Other reason for journey","Nights per trip","16.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M02","2023 February","-","All reasons for journey","Nights per trip","7.3"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M03","2023 March","3","Business","Nights per trip","4.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M03","2023 March","1","Holiday/leisure/recreation","Nights per trip","5.5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M03","2023 March","2","Visit to friends/relatives","Nights per trip","6.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M03","2023 March","4","Other reason for journey","Nights per trip","24.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M03","2023 March","-","All reasons for journey","Nights per trip","7.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M04","2023 April","3","Business","Nights per trip","9.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M04","2023 April","1","Holiday/leisure/recreation","Nights per trip","5.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M04","2023 April","2","Visit to friends/relatives","Nights per trip","7.1"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M04","2023 April","4","Other reason for journey","Nights per trip","20.5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M04","2023 April","-","All reasons for journey","Nights per trip","7.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M05","2023 May","3","Business","Nights per trip","6.3"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M05","2023 May","1","Holiday/leisure/recreation","Nights per trip","6.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M05","2023 May","2","Visit to friends/relatives","Nights per trip","6.5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M05","2023 May","4","Other reason for journey","Nights per trip","17.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M05","2023 May","-","All reasons for journey","Nights per trip","7.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M06","2023 June","3","Business","Nights per trip","4.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M06","2023 June","1","Holiday/leisure/recreation","Nights per trip","7.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M06","2023 June","2","Visit to friends/relatives","Nights per trip","7.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M06","2023 June","4","Other reason for journey","Nights per trip","8.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M06","2023 June","-","All reasons for journey","Nights per trip","7.3"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M07","2023 July","3","Business","Nights per trip","5.5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M07","2023 July","1","Holiday/leisure/recreation","Nights per trip","7.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M07","2023 July","2","Visit to friends/relatives","Nights per trip","9.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M07","2023 July","4","Other reason for journey","Nights per trip","14.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M07","2023 July","-","All reasons for journey","Nights per trip","8.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M08","2023 August","3","Business","Nights per trip","10"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M08","2023 August","1","Holiday/leisure/recreation","Nights per trip","8.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M08","2023 August","2","Visit to friends/relatives","Nights per trip","10.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M08","2023 August","4","Other reason for journey","Nights per trip","14.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M08","2023 August","-","All reasons for journey","Nights per trip","9.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M09","2023 September","3","Business","Nights per trip","5.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M09","2023 September","1","Holiday/leisure/recreation","Nights per trip","7.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M09","2023 September","2","Visit to friends/relatives","Nights per trip","9.1"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M09","2023 September","4","Other reason for journey","Nights per trip","13.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M09","2023 September","-","All reasons for journey","Nights per trip","8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M10","2023 October","3","Business","Nights per trip","5.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M10","2023 October","1","Holiday/leisure/recreation","Nights per trip","6.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M10","2023 October","2","Visit to friends/relatives","Nights per trip","7.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M10","2023 October","4","Other reason for journey","Nights per trip","8.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M10","2023 October","-","All reasons for journey","Nights per trip","6.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M11","2023 November","3","Business","Nights per trip","5.5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M11","2023 November","1","Holiday/leisure/recreation","Nights per trip","5.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M11","2023 November","2","Visit to friends/relatives","Nights per trip","8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M11","2023 November","4","Other reason for journey","Nights per trip","17.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M11","2023 November","-","All reasons for journey","Nights per trip","6.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M12","2023 December","3","Business","Nights per trip","8.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M12","2023 December","1","Holiday/leisure/recreation","Nights per trip","5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M12","2023 December","2","Visit to friends/relatives","Nights per trip","6.5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M12","2023 December","4","Other reason for journey","Nights per trip","47.1"
"ITM04C05","Average Length of Stay of Foreign Visitors","2023M12","2023 December","-","All reasons for journey","Nights per trip","10.1"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M01","2024 January","3","Business","Nights per trip","4.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M01","2024 January","1","Holiday/leisure/recreation","Nights per trip","5.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M01","2024 January","2","Visit to friends/relatives","Nights per trip","10.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M01","2024 January","4","Other reason for journey","Nights per trip","19.5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M01","2024 January","-","All reasons for journey","Nights per trip","8.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M02","2024 February","3","Business","Nights per trip","4.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M02","2024 February","1","Holiday/leisure/recreation","Nights per trip","4.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M02","2024 February","2","Visit to friends/relatives","Nights per trip","6.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M02","2024 February","4","Other reason for journey","Nights per trip","13.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M02","2024 February","-","All reasons for journey","Nights per trip","6.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M03","2024 March","3","Business","Nights per trip","4.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M03","2024 March","1","Holiday/leisure/recreation","Nights per trip","4.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M03","2024 March","2","Visit to friends/relatives","Nights per trip","6.5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M03","2024 March","4","Other reason for journey","Nights per trip","12.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M03","2024 March","-","All reasons for journey","Nights per trip","6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M04","2024 April","3","Business","Nights per trip","5.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M04","2024 April","1","Holiday/leisure/recreation","Nights per trip","5.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M04","2024 April","2","Visit to friends/relatives","Nights per trip","6.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M04","2024 April","4","Other reason for journey","Nights per trip","10.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M04","2024 April","-","All reasons for journey","Nights per trip","6.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M05","2024 May","3","Business","Nights per trip","5"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M05","2024 May","1","Holiday/leisure/recreation","Nights per trip","6.3"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M05","2024 May","2","Visit to friends/relatives","Nights per trip","7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M05","2024 May","4","Other reason for journey","Nights per trip","14.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M05","2024 May","-","All reasons for journey","Nights per trip","7.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","3","Business","Nights per trip","5.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","1","Holiday/leisure/recreation","Nights per trip","6.9"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","2","Visit to friends/relatives","Nights per trip","7.2"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","4","Other reason for journey","Nights per trip","11.8"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M06","2024 June","-","All reasons for journey","Nights per trip","7.3"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","3","Business","Nights per trip","6.1"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","1","Holiday/leisure/recreation","Nights per trip","7.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","2","Visit to friends/relatives","Nights per trip","8.7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","4","Other reason for journey","Nights per trip","10.6"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M07","2024 July","-","All reasons for journey","Nights per trip","8.1"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","3","Business","Nights per trip","7"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","1","Holiday/leisure/recreation","Nights per trip","8.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","2","Visit to friends/relatives","Nights per trip","9.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","4","Other reason for journey","Nights per trip","10.4"
"ITM04C05","Average Length of Stay of Foreign Visitors","2024M08","2024 August","-","All reasons for journey","Nights per trip","8.7"
